species,corr_A,r2_A,F1_A,nz,corr_B,r2_B,F1_B,common,dcorr,dR2,dF1
Sciaenops ocellatus_R,0.6707176115476523,0.3791485788651648,0.4717743585281027,0.32877092332425517,0.5404080657279516,0.2488040704596282,0.5888589999752327,Red Drum (R),0.13030954581970067,0.13034450840553657,-0.11708464144713004
Sciaenops ocellatus_SA,0.6462825318669942,0.3615309526596938,0.8051975104773454,0.657649446694521,0.7528662292797685,0.5103919736480809,0.768911761623857,Red Drum (SA),-0.10658369741277429,-0.14886102098838705,0.03628574885348845
Centropomus undecimalis_A,0.6044299657442789,0.35249809693266176,0.7965798371452107,0.5502905222683989,0.7201785825926872,0.4814190652048821,0.7491567030819477,Snook (A),-0.11574861684840831,-0.12892096827222033,0.04742313406326304
Centropomus undecimalis_SA,0.5747285335468706,0.180528461268901,0.5051258721747512,0.3328506843978049,0.70527060898964,0.3962718472959026,0.20805370022023842,Snook (SA),-0.1305420754427694,-0.21574338602700158,0.29707217195451285
Callinectes sapidus_R,0.6472517403928298,0.39521761198460814,0.8151581782616493,0.7091955185711099,0.7831315327797328,0.5719541973179705,0.7574582082092015,Blue Crab (R),-0.13587979238690295,-0.17673658533336234,0.05769997005244776
Archosargus probatocephalus_A,0.6104727294201564,0.2834116666180779,0.7954305586456427,0.6433346214247372,0.7565651408219889,0.5294099021046258,0.7847641310224375,Sheepshead (A),-0.1460924114018325,-0.24599823548654792,0.010666427623205244
Cynoscion nebulosus_R,0.6398244068124345,0.36755426820884085,0.7868732991610047,0.5779443373061233,0.7886769031839005,0.6053922879798594,0.7487055580886693,Seatrout (R),-0.14885249637146603,-0.2378380197710186,0.03816774107233534
Lutjanus griseus_SA,0.6205301045725584,0.28387992146107033,0.6742951661490143,0.40842574145638727,0.7812471664635389,0.5710938902912817,0.5465944066399935,Gray Snapper (SA),-0.16071706189098045,-0.28721396883021133,0.12770075950902082
Cynoscion nebulosus_A,0.47725638209022603,0.1775032813445503,0.6870630868479887,0.5099305389929422,0.6386513006790283,0.3139517283006656,0.5513940962614599,Seatrout (A),-0.16139491858880228,-0.1364484469561153,0.13566899058652881
Mycteroperca microlepis_SA,0.5262510520966707,-1.4155076486888545,0.4255291245073518,0.3021460974609488,0.7058532216296448,0.419105763190489,0.20626625313296643,Gag Grouper (SA),-0.17960216953297414,-1.8346134118793436,0.21926287137438538
Lutjanus griseus_R,0.5607292704995812,0.2544697447924268,0.5369211632222194,0.3484585969878087,0.8011037210679822,0.4799852492180936,0.3268525210408014,Gray Snapper (R),-0.240374450568401,-0.2255155044256668,0.21006864218141796
Archosargus probatocephalus_R,0.4928861122685482,-0.3832374505610375,0.4832122176955414,0.3110861018020661,0.7362759490754045,0.13015603582986976,0.24123542240041118,Sheepshead (R),-0.24338983680685627,-0.5133934863909072,0.24197679529513022
