species,corr_A,r2_A,F1_A,nz,corr_B,r2_B,F1_B,common,dcorr,dR2,dF1
Sciaenops ocellatus_SA,0.6437277751613704,0.3705516947822223,0.8042572906447663,0.657649446694521,0.646323419233307,0.40740287721463664,0.78798015697947,Red Drum (SA),-0.002595644071936687,-0.036851182432414364,0.01627713366529626
Centropomus undecimalis_SA,0.5769563884370561,0.18524012784124944,0.5036819133861156,0.3328506843978049,0.6323477087047134,0.3109190814530531,0.5904960809852523,Snook (SA),-0.05539132026765725,-0.12567895361180365,-0.08681416759913674
Sciaenops ocellatus_R,0.6634598705248952,0.35749379630582184,0.4700797077947543,0.32877092332425517,0.7297687923230732,0.49380595321484433,0.6861918388988286,Red Drum (R),-0.06630892179817804,-0.13631215690902249,-0.21611213110407435
Archosargus probatocephalus_A,0.6066291933599743,0.28515901085847817,0.7953148369102381,0.6433346214247372,0.683683057427722,0.44222668748599164,0.7888259346284717,Sheepshead (A),-0.07705386406774761,-0.15706767662751348,0.006488902281766351
Centropomus undecimalis_A,0.6040054471176312,0.352169425046004,0.7968381016080207,0.5502905222683989,0.6880750436045302,0.42523930791608233,0.8204445365195511,Snook (A),-0.08406959648689905,-0.07306988287007832,-0.02360643491153036
Callinectes sapidus_R,0.6475835666599162,0.396012915806765,0.8151692281485712,0.7091955185711099,0.7382754219025959,0.5220860886636512,0.7867906978340313,Blue Crab (R),-0.09069185524267964,-0.12607317285688624,0.02837853031453985
Cynoscion nebulosus_R,0.6380823920935487,0.3745963933879961,0.7867769229081134,0.5779443373061233,0.7494007365781293,0.5489785147272094,0.797322808722512,Seatrout (R),-0.11131834448458067,-0.17438212133921327,-0.010545885814398637
Cynoscion nebulosus_A,0.481907045968841,0.18554966599538236,0.6858629801884127,0.5099305389929422,0.6040063909923009,0.35482792973661853,0.6915267883324382,Seatrout (A),-0.12209934502345993,-0.16927826374123617,-0.005663808144025451
Lutjanus griseus_SA,0.6202206302255526,0.28342535433328636,0.6729022886103184,0.40842574145638727,0.7543041270888204,0.5283861298044872,0.7187395563043911,Gray Snapper (SA),-0.13408349686326781,-0.24496077547120082,-0.0458372676940727
Lutjanus griseus_R,0.5615329196088084,0.2568025097717833,0.5316360387773371,0.3484585969878087,0.7015470013517429,0.45647373496047583,0.6233969962126261,Gray Snapper (R),-0.1400140817429345,-0.1996712251886925,-0.091760957435289
Mycteroperca microlepis_SA,0.5190878582907793,-1.4169312460903902,0.4332261890125057,0.3021460974609488,0.6661541980354219,0.3436272745581874,0.5642023828541812,Gag Grouper (SA),-0.14706633974464256,-1.7605585206485777,-0.13097619384167553
Archosargus probatocephalus_R,0.48895220015440527,-0.36676833635190986,0.4813230551908638,0.3110861018020661,0.7033756386683878,0.35343617534193084,0.553133346025136,Sheepshead (R),-0.21442343851398254,-0.7202045116938407,-0.07181029083427215
