month,n,rmse,mae,bias,r2,corr
1,1066080,0.24155270047594607,0.0651883708847584,-0.010798970666144993,0.7245692782833519,0.8538305006856713
2,1066080,0.2231485663730645,0.05977811173312467,-0.007374048557645073,0.7089464388229152,0.8435006792000075
3,1066080,0.21069802782020716,0.059352283772079246,-0.007240859707850821,0.7195021285270087,0.8500702915366988
4,1066080,0.19950230388998902,0.0556060562403081,-0.007629963164704471,0.6863192826683575,0.8304561377096715
5,1066080,0.19072143987175955,0.057156728403779146,-0.007405978692138226,0.6867083198573605,0.8313860887648673
6,1066080,0.24169572524522193,0.06723649863311038,-0.011365892636455675,0.6719740849667365,0.8252614392088327
7,1066080,0.249086555679508,0.07470365489014355,-0.01085192289189169,0.7556338101979366,0.871458595035793
8,1066080,0.2600569769805104,0.08060922866373177,-0.013353554909510332,0.743973315941241,0.8656584466313795
9,1066080,0.26553296712223984,0.08519100389020541,-0.016592344303606895,0.7570903571481051,0.8731441887443806
10,1066080,0.2459171068786627,0.08306606703396939,-0.014531966492128724,0.7405705157892001,0.8618513160167456
11,1066080,0.33906747007666344,0.0843883167483068,-0.016717487972377612,0.6702443751814093,0.8237312057740938
12,1066080,0.4017971052263549,0.08120320035415685,-0.016677832877771165,0.6395927553055516,0.805989250106406
