species,n,rmse,mae,bias,r2,corr
Lutjanus griseus_SA,1066080,0.1832333356862893,0.04657725832716062,-0.008641806734032951,0.7995585039912996,0.8954197200079614
Mycteroperca microlepis_SA,1066080,0.06024197483757431,0.00942563447490655,-0.00042757650387545816,0.745982425056914,0.8673210602744414
Lutjanus griseus_R,1066080,0.10473880245447606,0.020956959479785042,-0.002860548283061351,0.7324375138120371,0.8581087374312413
Archosargus probatocephalus_R,1066080,0.061871320179847755,0.010196417396224986,-0.0021104844444943187,0.7145782882935481,0.8478815143887595
Cynoscion nebulosus_R,1066080,0.28732622909742056,0.11337406195877561,-0.023685193787544984,0.7138063412370323,0.8495755962210262
Centropomus undecimalis_A,1066080,0.45377641624664206,0.15104579968582435,-0.03360323476422177,0.7052331537106523,0.8433269343971355
Archosargus probatocephalus_A,1066080,0.2720745240968792,0.12096036605180763,-0.014035040200314545,0.7030587492895579,0.8400103127338752
Callinectes sapidus_R,1066080,0.45308849053212,0.17989838199259872,-0.02115913648053395,0.695136221786495,0.8364905541634652
Sciaenops ocellatus_SA,1066080,0.2151455374523444,0.10153895090169739,-0.016444291907154646,0.6582279369660076,0.8148334457677103
Cynoscion nebulosus_A,1066080,0.13954878200648782,0.04770904030291297,-0.008240241209862591,0.6489880817873859,0.8085990609977591
Centropomus undecimalis_SA,1066080,0.0926466459822313,0.016962285410125316,-0.0016201573479921842,0.6061676701392607,0.7837021275056061
Sciaenops ocellatus_R,1066080,0.3606436985829924,0.034834365265854546,-0.007713111209136893,0.5510136999412001,0.7545579544689599
