bay,species,year,pred_total,obs_total,pred_mean,obs_mean,pred_median,obs_median,n,month
AP,Archosargus probatocephalus_A,2010.0,19.98988730796223,94.00000252499652,0.012071187987899898,0.05676328654891094,1.2462617178243818e-06,0.0,1656,
AP,Archosargus probatocephalus_A,2011.0,19.435977449395022,64.00000108238659,0.011736701358330328,0.03864734364878417,5.03265391671448e-06,0.0,1656,
AP,Archosargus probatocephalus_A,2012.0,13.10086563961977,101.00000123623045,0.007911150748562662,0.060990338910767175,1.6740585238039787e-06,0.0,1656,
AP,Archosargus probatocephalus_A,2013.0,21.614753428949314,125.00000165886097,0.013052387336322049,0.07548309278916725,3.189742983522592e-06,0.0,1656,
AP,Archosargus probatocephalus_A,2014.0,24.659775903846437,130.00000184732417,0.014891169024061858,0.07850241657447111,8.373316404686193e-07,0.0,1656,
AP,Archosargus probatocephalus_A,2015.0,33.48224867546636,112.00000209736238,0.020218749200160844,0.06763285150806907,5.779252023785375e-05,0.0,1656,
AP,Archosargus probatocephalus_A,2016.0,58.4953666279752,90.00000171108019,0.03532328902655507,0.054347827120217504,6.729248707415536e-05,0.0,1656,
AP,Archosargus probatocephalus_A,2017.0,31.237410103738064,70.00000088247062,0.01886317035249883,0.04227053193385907,3.581874261726625e-05,0.0,1656,
AP,Archosargus probatocephalus_A,2018.0,8.165173461417163,81.00000101437456,0.0049306603027881426,0.04891304409080589,2.91681442377012e-06,0.0,1656,
AP,Archosargus probatocephalus_A,2019.0,8.557336350434593,87.00000151203915,0.005167473641566783,0.05253623279712509,6.169205880723894e-05,0.0,1656,
AP,Archosargus probatocephalus_A,,4.032760586542119,53.000001715752845,0.002922290280102985,0.038405798344748436,7.114707614164217e-07,0.0,1380,1.0
AP,Archosargus probatocephalus_A,,1.7812179901395544,34.000000483595684,0.00129073767401417,0.024637681509851947,7.558682000308181e-07,0.0,1380,2.0
AP,Archosargus probatocephalus_A,,14.077258936836312,46.00000085203719,0.010200912273069792,0.03333333395075159,1.080063896097272e-06,0.0,1380,3.0
AP,Archosargus probatocephalus_A,,8.290256261618127,92.00000288758545,0.0060074320736363245,0.06666666875911989,1.4201381873135688e-05,0.0,1380,4.0
AP,Archosargus probatocephalus_A,,52.72367469112204,132.00000304259413,0.03820556137037829,0.09565217611782183,9.623266305425204e-05,0.0,1380,5.0
AP,Archosargus probatocephalus_A,,51.9394184742391,111.0000018010159,0.037637259763941375,0.08043478391377963,4.477053334994707e-05,0.0,1380,6.0
AP,Archosargus probatocephalus_A,,19.33552877750932,85.0000010653833,0.014011252737325595,0.06159420367056761,3.0711347790202126e-05,0.0,1380,7.0
AP,Archosargus probatocephalus_A,,13.210279788016543,85.0000005723619,0.009572666513055465,0.06159420331330572,1.9424865968176164e-05,0.0,1380,8.0
AP,Archosargus probatocephalus_A,,14.356169328282558,72.00000089770785,0.010403021252378665,0.05217391369399119,2.2167264432937372e-05,0.0,1380,9.0
AP,Archosargus probatocephalus_A,,26.694158296932034,92.99999992662396,0.019343592968791328,0.06739130429465504,5.154052087164018e-05,0.0,1380,10.0
AP,Archosargus probatocephalus_A,,19.625871291133596,94.00000148274924,0.014221645863140286,0.06811594310344148,4.874313844993594e-06,0.0,1380,11.0
AP,Archosargus probatocephalus_A,,12.672200526432853,57.000000839718126,0.009182754004661488,0.04130434843457835,3.596760848267877e-06,0.0,1380,12.0
AP,Archosargus probatocephalus_R,2010.0,6.189315748362018e-07,0.0,3.7375095098804457e-10,0.0,0.0,0.0,1656,
AP,Archosargus probatocephalus_R,2011.0,3.876106250414073e-07,0.0,2.3406438710229913e-10,0.0,3.475816509612706e-11,0.0,1656,
AP,Archosargus probatocephalus_R,2012.0,3.4512844087358544e-06,0.0,2.084108942473342e-09,0.0,1.1388512355381408e-09,0.0,1656,
AP,Archosargus probatocephalus_R,2013.0,4.6704967010701913e-07,0.0,2.820348249438521e-10,0.0,1.404952335026799e-10,0.0,1656,
AP,Archosargus probatocephalus_R,2014.0,3.343309085240148e-06,0.0,2.0189064524397027e-09,0.0,2.6136474928772913e-11,0.0,1656,
AP,Archosargus probatocephalus_R,2015.0,3.2238940190318113e-07,0.0,1.9467959052124463e-10,0.0,0.0,0.0,1656,
AP,Archosargus probatocephalus_R,2016.0,0.0008974918039582403,0.0,5.41963649733237e-07,0.0,8.625696157338325e-09,0.0,1656,
AP,Archosargus probatocephalus_R,2017.0,2.489643695208818e-08,0.0,1.5034080285077405e-11,0.0,4.355870048336485e-12,0.0,1656,
AP,Archosargus probatocephalus_R,2018.0,4.6923355707793545e-09,0.0,2.833535972692847e-12,0.0,1.5393239017702596e-14,0.0,1656,
AP,Archosargus probatocephalus_R,2019.0,1.6168637115441494e-05,0.0,9.763669755701386e-09,0.0,4.962439348332737e-10,0.0,1656,
AP,Archosargus probatocephalus_R,,2.8806655631083536e-06,0.0,2.087438813846633e-09,0.0,2.3514946934088954e-11,0.0,1380,1.0
AP,Archosargus probatocephalus_R,,1.5088732119478862e-06,0.0,1.0933863854694827e-09,0.0,6.542114723215309e-12,0.0,1380,2.0
AP,Archosargus probatocephalus_R,,1.5664696669465545e-06,0.0,1.1351229470627205e-09,0.0,1.1127483049572229e-11,0.0,1380,3.0
AP,Archosargus probatocephalus_R,,1.8549881689027858e-06,0.0,1.3441943252918738e-09,0.0,2.6239727404786528e-11,0.0,1380,4.0
AP,Archosargus probatocephalus_R,,1.8423935151365786e-06,0.0,1.3350677645917236e-09,0.0,3.625061362200199e-11,0.0,1380,5.0
AP,Archosargus probatocephalus_R,,5.868008533937327e-06,0.0,4.2521800970560345e-09,0.0,4.519708045325199e-11,0.0,1380,6.0
AP,Archosargus probatocephalus_R,,1.620339806966887e-05,0.0,1.1741592804107876e-08,0.0,2.0942287834446738e-11,0.0,1380,7.0
AP,Archosargus probatocephalus_R,,0.000534357226727959,0.0,3.872153816869268e-07,0.0,2.089624480394736e-11,0.0,1380,8.0
AP,Archosargus probatocephalus_R,,0.0003500254432712092,0.0,2.5364162555884725e-07,0.0,1.2871550179871516e-11,0.0,1380,9.0
AP,Archosargus probatocephalus_R,,2.1104517056692234e-06,0.0,1.5293128301950895e-09,0.0,1.1529048549174803e-11,0.0,1380,10.0
AP,Archosargus probatocephalus_R,,2.0979244526784785e-06,0.0,1.5202351106365786e-09,0.0,1.2381806951261565e-11,0.0,1380,11.0
AP,Archosargus probatocephalus_R,,1.964761724904377e-06,0.0,1.4237403803654905e-09,0.0,9.18617265588395e-12,0.0,1380,12.0
AP,Callinectes sapidus_R,2010.0,397.43417304905245,406.0000033090395,0.23999648130981427,0.24516908412381613,0.0017500272369943,0.0,1656,
