species,common,col,origin,prevalence,mean_log1p,std_log1p,max_log1p,median_log1p,mean_log1p_nz,mean_count,max_count,role,n_folds,mean_corr,median_corr,std_corr,mean_r2,median_r2,mean_F1_t0_5,mean_F1_best,mean_rmse
Eucinostomus spp.,Eucinostomus spp.,85,community,0.374429130647529,1.1171194,1.7373403,8.625151,0.0,2.9835272,24.731161,5569.002,feature,,,,,,,,,
Lagodon rhomboides_R,Pinfish (R),10,orig-target,0.32201109117599086,0.86075497,1.5955974,9.956981,0.0,2.6730597,28.902891,21097.996,feature,,,,,,,,,
Menidia spp.,Menidia spp.,109,community,0.31497716522590113,0.9071142,1.6234466,10.045204,0.0,2.8799365,25.905766,23044.002,feature,,,,,,,,,
Mugil cephalus,Mugil cephalus,145,community,0.262885336812918,0.48991793,1.0211875,8.875846,0.0,1.8636185,5.612074,7155.998,feature,,,,,,,,,
Anchoa mitchilli,Anchoa mitchilli,77,community,0.2615804925786984,1.0282134,2.1177247,12.7396555,0.0,3.9307725,260.3008,341005.06,feature,,,,,,,,,
Eucinostomus harengulus,Eucinostomus harengulus,133,community,0.25446501386396997,0.5341865,1.0949471,7.026427,0.0,2.0992534,4.7568502,1125.0,feature,,,,,,,,,
Leiostomus xanthurus,Leiostomus xanthurus,141,community,0.23421954004240744,0.5700514,1.2997786,11.813156,0.0,2.4338334,24.700151,135016.02,feature,,,,,,,,,
Microgobius gulosus,Microgobius gulosus,110,community,0.22537106507910618,0.42352954,0.9571493,7.1716566,0.0,1.8792543,3.4288657,1300.9998,feature,,,,,,,,,
Lagodon rhomboides_A,Pinfish (A),9,orig-target,0.20647121187408254,0.62665206,1.4310747,8.249576,0.0,3.0350578,14.702618,3825.0017,feature,,,,,,,,,
Eucinostomus gula,Eucinostomus gula,132,community,0.20064018920241397,0.42963773,1.0103621,7.3277807,0.0,2.1413343,3.6405358,1521.0002,feature,,,,,,,,,
Farfantepenaeus duorarum,Farfantepenaeus duorarum,86,community,0.19582857608872942,0.34009936,0.8430054,7.100027,0.0,1.7367196,2.5469131,1210.9999,feature,,,,,,,,,
Bairdiella chrysoura,Bairdiella chrysoura,124,community,0.1773976512803784,0.40374103,1.0675215,8.977273,0.0,2.2759094,7.162902,7920.002,feature,,,,,,,,,
Hypanus sabinus,Hypanus sabinus,139,community,0.1714850758440711,0.2782778,0.7126545,6.1675167,0.0,1.6227523,1.2840075,476.0001,feature,,,,,,,,,
Lucania parva,Lucania parva,106,community,0.15509297015168813,0.41452825,1.1946118,9.970164,0.0,2.6727726,14.702353,21377.998,feature,,,,,,,,,
Syngnathus scovelli,Syngnathus scovelli,119,community,0.14190181047137498,0.17783946,0.50805676,5.075174,0.0,1.2532572,0.5506035,159.0,feature,,,,,,,,,
Orthopristis chrysoptera,Orthopristis chrysoptera,153,community,0.13521448377099984,0.27015808,0.83120126,7.20786,0.0,1.9979966,3.024364,1349.0001,feature,,,,,,,,,
Oligoplites saurus,Oligoplites saurus,150,community,0.1320339259500897,0.15306899,0.45071468,6.493754,0.0,1.1593156,0.447847,660.00006,feature,,,,,,,,,
Synodus foetens,Synodus foetens,165,community,0.1302805415103572,0.13074765,0.37256148,3.988984,0.0,1.0035855,0.27061245,53.000004,feature,,,,,,,,,
Ariopsis felis,Ariopsis felis,122,community,0.12705920730712772,0.22619052,0.70784473,8.086718,0.0,1.7801979,1.748532,3249.999,feature,,,,,,,,,
Sphoeroides nephelus,Sphoeroides nephelus,160,community,0.12608057413146306,0.13665332,0.40536404,4.3438053,0.0,1.083857,0.32392758,75.99999,feature,,,,,,,,,
Elops saurus,Elops saurus,130,community,0.10881177621921383,0.16419001,0.5679661,8.679482,0.0,1.508936,1.4215462,5880.002,feature,,,,,,,,,
Paralichthys albigutta,Paralichthys albigutta,154,community,0.10328657641494046,0.10386988,0.33957765,3.4011974,0.0,1.0056473,0.22068179,29.000002,feature,,,,,,,,,
Strongylura notata,Strongylura notata,164,community,0.09727206002283477,0.13727562,0.48822373,5.771441,0.0,1.4112545,0.5623675,319.99997,feature,,,,,,,,,
Gobiosoma spp.,Gobiosoma spp.,96,community,0.0919507421301582,0.114755034,0.42628464,5.4467373,0.0,1.2480055,0.4092114,230.99998,feature,,,,,,,,,
Trinectes maculatus,Trinectes maculatus,120,community,0.08997308758766923,0.15426743,0.5862565,7.3530817,0.0,1.7145954,1.1151729,1559.9996,feature,,,,,,,,,
Mugil curema,Mugil curema,146,community,0.08644593051704452,0.12859567,0.50215536,7.8030267,0.0,1.487585,0.7818056,2447.0,feature,,,,,,,,,
Harengula jaguana,Harengula jaguana,137,community,0.08342847822541184,0.19884367,0.8125955,9.955178,0.0,2.3834028,7.167591,21060.0,feature,,,,,,,,,
Gobiosoma robustum,Gobiosoma robustum,95,community,0.08167509378567933,0.11785984,0.46703878,6.175867,0.0,1.4430327,0.525628,479.9999,feature,,,,,,,,,
Gobiosoma bosc,Gobiosoma bosc,94,community,0.06654705594519654,0.08397069,0.36572877,4.912655,0.0,1.2618243,0.28086773,135.0,feature,,,,,,,,,
Eugerres plumieri,Eugerres plumieri,134,community,0.05967623552438427,0.103948034,0.49022865,7.5611215,0.0,1.7418666,0.73921466,1920.9998,feature,,,,,,,,,
Brevoortia spp.,Brevoortia spp.,125,community,0.05877915511335834,0.13577145,0.6960559,10.70248,0.0,2.3098571,8.927052,44465.008,feature,,,,,,,,,
Farfantepenaeus spp.,Farfantepenaeus spp.,87,community,0.053111237970967215,0.088951476,0.44565043,6.324359,0.0,1.6748145,0.55125594,557.0,feature,,,,,,,,,
Menticirrhus americanus,Menticirrhus americanus,143,community,0.05217338117762192,0.07538078,0.37975731,7.16935,0.0,1.444813,0.3957348,1298.0001,feature,,,,,,,,,
Floridichthys carpio,Floridichthys carpio,88,community,0.0490947643125102,0.11228535,0.5909211,8.097426,0.0,2.2871146,1.7980957,3285.0005,feature,,,,,,,,,
Achirus lineatus,Achirus lineatus,74,community,0.04778992007829065,0.0483958,0.24470651,5.556828,0.0,1.012678,0.122614585,258.0,feature,,,,,,,,,
Mugil trichodon,Mugil trichodon,147,community,0.04748409721089545,0.07050348,0.3737552,7.0791845,0.0,1.4847807,0.38091257,1186.0001,feature,,,,,,,,,
Fundulus grandis,Fundulus grandis,90,community,0.04593459468275975,0.07819366,0.4183213,6.652863,0.0,1.7022825,0.47088566,774.0,feature,,,,,,,,,
Chilomycterus schoepfii,Chilomycterus schoepfii,128,community,0.045098678845212854,0.0507024,0.26212722,4.0073333,0.0,1.1242548,0.12459224,54.000004,feature,,,,,,,,,
Pogonias cromis,Pogonias cromis,156,community,0.04507829065405317,0.056702804,0.3054195,5.4380794,0.0,1.257874,0.20147611,229.00002,feature,,,,,,,,,
Anchoa hepsetus,Anchoa hepsetus,76,community,0.04269287228837058,0.08338898,0.50345194,9.6046095,0.0,1.9532294,2.6673257,14831.997,feature,,,,,,,,,
Cynoscion arenarius,Cynoscion arenarius,81,community,0.04222394389169793,0.071699046,0.40594456,6.49224,0.0,1.6980662,0.5081145,659.00006,feature,,,,,,,,,
Ctenogobius boleosoma,Ctenogobius boleosoma,80,community,0.039838525526015335,0.065801345,0.37901455,5.7930136,0.0,1.6517013,0.36900586,327.0,feature,,,,,,,,,
Micropogonias undulatus,Micropogonias undulatus,144,community,0.037799706410047304,0.08335146,0.49378544,7.029973,0.0,2.205082,1.0048524,1129.0001,feature,,,,,,,,,
Strongylura marina,Strongylura marina,163,community,0.03745310716033273,0.041411825,0.24130733,4.7957907,0.0,1.105698,0.11553988,120.000015,feature,,,,,,,,,
Membras martinica,Membras martinica,108,community,0.035536617191322784,0.08611803,0.5475294,8.7936125,0.0,2.4233603,2.7188468,6591.003,feature,,,,,,,,,
Fundulus similis,Fundulus similis,135,community,0.03525118251508726,0.06728691,0.4320806,7.8924522,0.0,1.9087843,0.9735973,2676.0005,feature,,,,,,,,,
Gambusia holbrooki,Gambusia holbrooki,93,community,0.03341624531071603,0.06536866,0.4332509,8.15651,0.0,1.9561942,0.9521489,3485.0005,feature,,,,,,,,,
Chasmodes saburrae,Chasmodes saburrae,79,community,0.03253955309084978,0.03583434,0.21821947,4.0430512,0.0,1.1012548,0.08634399,56.0,feature,,,,,,,,,
Bagre marinus,Bagre marinus,123,community,0.03215217745881585,0.045987666,0.29553598,5.891644,0.0,1.4303126,0.20078291,360.9999,feature,,,,,,,,,
Hypanus say,Hypanus say,140,community,0.031377426194748,0.034558266,0.2204962,4.394449,0.0,1.1013736,0.09666041,80.00001,feature,,,,,,,,,
Rhinoptera bonasus,Rhinoptera bonasus,158,community,0.029725982710813895,0.04208835,0.28220412,5.9687076,0.0,1.4158775,0.18930435,390.0,feature,,,,,,,,,
Caranx hippos,Caranx hippos,126,community,0.027564834447887782,0.031304713,0.21803084,6.182085,0.0,1.1356757,0.11480591,483.00006,feature,,,,,,,,,
Symphurus plagiusa,Symphurus plagiusa,118,community,0.026769694992660253,0.027796455,0.18804044,3.6888795,0.0,1.0383552,0.06493639,39.0,feature,,,,,,,,,
Chaetodipterus faber,Chaetodipterus faber,127,community,0.026504648507584407,0.037811037,0.27950796,6.781058,0.0,1.4265815,0.28258032,880.0002,feature,,,,,,,,,
Opsanus beta,Opsanus beta,152,community,0.02536290980264231,0.024242982,0.1635921,3.0445225,0.0,0.9558439,0.04801419,20.000002,feature,,,,,,,,,
Stephanolepis hispida,Stephanolepis hispida,116,community,0.02358913717175012,0.027362192,0.20054078,3.5263605,0.0,1.1599488,0.07360137,33.0,feature,,,,,,,,,
Ogcocephalus cubifrons,Ogcocephalus cubifrons,149,community,0.02344641983363236,0.04191435,0.3091111,5.081404,0.0,1.7876654,0.21931577,159.99997,feature,,,,,,,,,
Cyprinodon variegatus,Cyprinodon variegatus,83,community,0.020367802968520633,0.038581897,0.32691857,7.6453977,0.0,1.8942592,0.56020635,2090.0,feature,,,,,,,,,
Hippocampus zosterae,Hippocampus zosterae,98,community,0.02024547382156255,0.018630479,0.14262655,3.9318256,0.0,0.9202294,0.037555046,50.0,feature,,,,,,,,,
Poecilia latipinna,Poecilia latipinna,113,community,0.017024139618333062,0.031609364,0.2880269,7.098376,0.0,1.8567379,0.32971781,1209.0002,feature,,,,,,,,,
Alburnops petersoni,Alburnops petersoni,75,community,0.01684064589789594,0.043736883,0.3809352,6.660575,0.0,2.5971024,0.6051011,779.9998,feature,,,,,,,,,
