species,common,n,prevalence,corr,r2,rmse
Centropomus undecimalis_A,Snook (A),70848,0.5598040876242095,0.6390364165078388,0.4067190549887568,0.46366742047851806
Cynoscion nebulosus_R,Seatrout (R),70848,0.5759936766034327,0.6314861318473804,0.38135874055321783,0.22974344553265447
Callinectes sapidus_R,Blue Crab (R),70848,0.7266260162601627,0.630051521127821,0.37601650653650254,0.45462267774530496
Lutjanus griseus_SA,Gray Snapper (SA),70848,0.40979279584462514,0.6221934359712269,0.37541017760568796,0.20930545977459444
Sciaenops ocellatus_SA,Red Drum (SA),70848,0.6544150858175248,0.6102129655438377,0.35826334896174616,0.13052691055933222
Archosargus probatocephalus_A,Sheepshead (A),70848,0.6419235546522132,0.5999556670750961,0.3500755255986411,0.2195673726122908
Sciaenops ocellatus_R,Red Drum (R),70848,0.32794150858175247,0.5851273242441835,0.3385745100236147,0.35273378845603476
Archosargus probatocephalus_R,Sheepshead (R),70848,0.30492039295392953,0.5410028500067895,0.28858193478566085,0.024685235005485757
Mycteroperca microlepis_SA,Gag Grouper (SA),70848,0.29839939024390244,0.5291462019439435,0.2521040335506507,0.023095204963407463
Lutjanus griseus_R,Gray Snapper (R),70848,0.3444557362240289,0.5184569084583378,0.2536670273975751,0.07604687463584633
Centropomus undecimalis_SA,Snook (SA),70848,0.34729279584462514,0.4956437524564349,0.22800050201521083,0.08963195297646581
Cynoscion nebulosus_A,Seatrout (A),70848,0.5020325203252033,0.43049332649542155,0.17785202703134895,0.07830193877577966
