bay,species,year,pred_total,obs_total,pred_mean,obs_mean,pred_median,obs_median,n,month
AP,Archosargus probatocephalus_A,2010.0,242.82662271437584,94.00000252499652,0.1466344340062656,0.05676328654891094,0.06412489339709279,0.0,1656,
AP,Archosargus probatocephalus_A,2011.0,197.39060010716634,64.00000108238658,0.11919722228693619,0.038647343648784166,0.04192646779119965,0.0,1656,
AP,Archosargus probatocephalus_A,2012.0,255.6059394212789,101.00000123623043,0.15435141269400898,0.06099033891076717,0.07175460830330846,0.0,1656,
AP,Archosargus probatocephalus_A,2013.0,197.68617280506072,125.00000165886095,0.11937570821561638,0.07548309278916725,0.0314837154000997,0.0,1656,
AP,Archosargus probatocephalus_A,2014.0,215.7068871884257,130.0000018473242,0.13025778211861455,0.07850241657447113,0.0513051617890596,0.0,1656,
AP,Archosargus probatocephalus_A,2015.0,279.16431197753263,112.00000209736238,0.16857748307822018,0.06763285150806907,0.07307052612304685,0.0,1656,
AP,Archosargus probatocephalus_A,2016.0,355.5622660157096,90.00000171108019,0.21471151329451063,0.054347827120217504,0.0971453636884689,0.0,1656,
AP,Archosargus probatocephalus_A,2017.0,308.4055607088667,70.00000088247063,0.1862352419739533,0.042270531933859073,0.09086617827415461,0.0,1656,
AP,Archosargus probatocephalus_A,2018.0,207.3098257503588,81.00000101437456,0.12518709284441956,0.04891304409080589,0.0639518834650516,0.0,1656,
AP,Archosargus probatocephalus_A,2019.0,208.65566924144508,87.00000151203915,0.12599980026657312,0.05253623279712509,0.0601701401174068,0.0,1656,
AP,Archosargus probatocephalus_A,2020.0,194.7850969775463,59.000000026901326,0.11762385083185162,0.03562801933991626,0.061578985303640296,0.0,1656,
AP,Archosargus probatocephalus_A,2021.0,211.86943744868034,63.00000151227107,0.12794048155113547,0.03804347917407673,0.0631037503480911,0.0,1656,
AP,Archosargus probatocephalus_A,2022.0,133.29009872511955,83.99999946472997,0.08048919005140069,0.050724637357928724,0.0403308439999818,0.0,1656,
AP,Archosargus probatocephalus_A,2023.0,206.70468528306077,93.00000067315378,0.12482166985692075,0.0561594206963489,0.06653602793812745,0.0,1656,
AP,Archosargus probatocephalus_A,2024.0,137.07725748908337,106.00000201966367,0.08277612167215179,0.06400966305535245,0.0362023133784532,0.0,1656,
AP,Archosargus probatocephalus_A,,125.47145233325492,53.00000171575285,0.060614228180316386,0.02560386556316563,0.0334933903068304,0.0,2070,1.0
AP,Archosargus probatocephalus_A,,168.41448276925797,73.00000187136276,0.08135965351171882,0.03526570138713177,0.0389357097446918,0.0,2070,2.0
AP,Archosargus probatocephalus_A,,213.38548363428703,82.00000116915058,0.10308477470255412,0.03961352713485535,0.04179330356419085,0.0,2070,3.0
AP,Archosargus probatocephalus_A,,252.67148146862743,124.00000207421107,0.1220635176176944,0.05990338264454641,0.06821960210800165,0.0,2070,4.0
AP,Archosargus probatocephalus_A,,446.4544827871141,196.00000452583743,0.21567849410005513,0.09468599252455914,0.0910299606621265,0.0,2070,5.0
AP,Archosargus probatocephalus_A,,396.01297865618835,152.0000014495355,0.19131061770830354,0.07342995239107995,0.08446499705314635,0.0,2070,6.0
AP,Archosargus probatocephalus_A,,290.48035972361686,112.00000151850452,0.140328676194984,0.05410628092681378,0.0742777958512306,0.0,2070,7.0
AP,Archosargus probatocephalus_A,,280.47633400489576,111.00000088655713,0.13549581352893514,0.053623188834085574,0.0711113959550857,0.0,2070,8.0
AP,Archosargus probatocephalus_A,,308.87838739543804,118.00000043628823,0.14921661226832755,0.05700483112864166,0.0792058482766151,0.0,2070,9.0
AP,Archosargus probatocephalus_A,,344.97758615080966,129.0000005124992,0.1666558387201979,0.0623188408272943,0.0838527455925941,0.0,2070,10.0
AP,Archosargus probatocephalus_A,,315.1210432843509,124.00000183122825,0.1522323880600729,0.0599033825271634,0.05137169919908045,0.0,2070,11.0
AP,Archosargus probatocephalus_A,,209.69635964586993,85.00000127291788,0.10130258920090335,0.04106280254730332,0.04545670747756955,0.0,2070,12.0
AP,Archosargus probatocephalus_R,2010.0,2.671998035834782,0.0,0.0016135253839582018,0.0,0.0,0.0,1656,
AP,Archosargus probatocephalus_R,2011.0,9.707975256489508,0.0,0.005862303898846321,0.0,0.005707312840968299,0.0,1656,
AP,Archosargus probatocephalus_R,2012.0,0.7937432416583688,0.0,0.00047931355172606814,0.0,0.0,0.0,1656,
AP,Archosargus probatocephalus_R,2013.0,8.120624261209741e-05,0.0,4.903758611841631e-08,0.0,0.0,0.0,1656,
AP,Archosargus probatocephalus_R,2014.0,0.21801656965830768,0.0,0.00013165251790960608,0.0,0.0,0.0,1656,
AP,Archosargus probatocephalus_R,2015.0,0.10246821643363063,0.0,6.187694229083976e-05,0.0,0.0,0.0,1656,
