feature,grid_value,species,mean_count
n_projects,-0.0,Sheepshead (Adult),298.79239
n_projects,-0.0,Sheepshead (Recruit),28.645926
n_projects,-0.0,Blue Crab (Recruit),457.446476
n_projects,-0.0,Common Snook (Adult),626.171083
n_projects,-0.0,Common Snook (Sub-adult),12.124351
n_projects,-0.0,Spotted Seatrout (Adult),125.898108
n_projects,-0.0,Spotted Seatrout (Recruit),463.623108
n_projects,-0.0,Gray Snapper (Recruit),52.165802
n_projects,-0.0,Gray Snapper (Sub-adult),94.387272
n_projects,-0.0,Gag Grouper (Sub-adult),22.779649
n_projects,-0.0,Red Drum (Recruit),37.86923
n_projects,-0.0,Red Drum (Sub-adult),340.029175
n_projects,0.0994,Sheepshead (Adult),299.464214
n_projects,0.0994,Sheepshead (Recruit),28.70176
n_projects,0.0994,Blue Crab (Recruit),457.022854
n_projects,0.0994,Common Snook (Adult),626.003531
n_projects,0.0994,Common Snook (Sub-adult),12.085412
n_projects,0.0994,Spotted Seatrout (Adult),126.318869
n_projects,0.0994,Spotted Seatrout (Recruit),465.969309
n_projects,0.0994,Gray Snapper (Recruit),52.106767
n_projects,0.0994,Gray Snapper (Sub-adult),94.608394
n_projects,0.0994,Gag Grouper (Sub-adult),23.002465
n_projects,0.0994,Red Drum (Recruit),37.858382
n_projects,0.0994,Red Drum (Sub-adult),340.03022
n_projects,0.1988,Sheepshead (Adult),300.153983
n_projects,0.1988,Sheepshead (Recruit),28.751984
n_projects,0.1988,Blue Crab (Recruit),456.611826
n_projects,0.1988,Common Snook (Adult),625.904253
n_projects,0.1988,Common Snook (Sub-adult),12.022586
n_projects,0.1988,Spotted Seatrout (Adult),126.74526
n_projects,0.1988,Spotted Seatrout (Recruit),468.154909
n_projects,0.1988,Gray Snapper (Recruit),52.040779
n_projects,0.1988,Gray Snapper (Sub-adult),94.826357
n_projects,0.1988,Gag Grouper (Sub-adult),23.220323
n_projects,0.1988,Red Drum (Recruit),37.869521
n_projects,0.1988,Red Drum (Sub-adult),339.979641
n_projects,0.2982,Sheepshead (Adult),300.879068
n_projects,0.2982,Sheepshead (Recruit),28.790766
n_projects,0.2982,Blue Crab (Recruit),456.119024
n_projects,0.2982,Common Snook (Adult),625.84234
n_projects,0.2982,Common Snook (Sub-adult),11.960214
n_projects,0.2982,Spotted Seatrout (Adult),127.172045
n_projects,0.2982,Spotted Seatrout (Recruit),470.285513
n_projects,0.2982,Gray Snapper (Recruit),51.979518
n_projects,0.2982,Gray Snapper (Sub-adult),95.015957
n_projects,0.2982,Gag Grouper (Sub-adult),23.428984
n_projects,0.2982,Red Drum (Recruit),37.835206
n_projects,0.2982,Red Drum (Sub-adult),339.992168
n_projects,0.3977,Sheepshead (Adult),301.697057
n_projects,0.3977,Sheepshead (Recruit),28.817355
n_projects,0.3977,Blue Crab (Recruit),455.730831
