feature,grid_value,species,mean_count
Temperature,16.2433,Sheepshead (Adult),0.210341
Temperature,16.2433,Sheepshead (Recruit),0.016359
Temperature,16.2433,Blue Crab (Recruit),0.27464
Temperature,16.2433,Common Snook (Adult),0.299881
Temperature,16.2433,Common Snook (Sub-adult),0.006185
Temperature,16.2433,Spotted Seatrout (Adult),0.098202
Temperature,16.2433,Spotted Seatrout (Recruit),0.217098
Temperature,16.2433,Gray Snapper (Recruit),0.020592
Temperature,16.2433,Gray Snapper (Sub-adult),0.039905
Temperature,16.2433,Gag Grouper (Sub-adult),0.007868
Temperature,16.2433,Red Drum (Recruit),0.020213
Temperature,16.2433,Red Drum (Sub-adult),0.199459
Temperature,17.0092,Sheepshead (Adult),0.205706
Temperature,17.0092,Sheepshead (Recruit),0.016616
Temperature,17.0092,Blue Crab (Recruit),0.270994
Temperature,17.0092,Common Snook (Adult),0.306281
Temperature,17.0092,Common Snook (Sub-adult),0.00628
Temperature,17.0092,Spotted Seatrout (Adult),0.095057
Temperature,17.0092,Spotted Seatrout (Recruit),0.219919
Temperature,17.0092,Gray Snapper (Recruit),0.02118
Temperature,17.0092,Gray Snapper (Sub-adult),0.040912
Temperature,17.0092,Gag Grouper (Sub-adult),0.008249
Temperature,17.0092,Red Drum (Recruit),0.020295
Temperature,17.0092,Red Drum (Sub-adult),0.199578
Temperature,17.7751,Sheepshead (Adult),0.201313
Temperature,17.7751,Sheepshead (Recruit),0.016843
Temperature,17.7751,Blue Crab (Recruit),0.267332
Temperature,17.7751,Common Snook (Adult),0.312513
Temperature,17.7751,Common Snook (Sub-adult),0.006366
Temperature,17.7751,Spotted Seatrout (Adult),0.092105
Temperature,17.7751,Spotted Seatrout (Recruit),0.222593
Temperature,17.7751,Gray Snapper (Recruit),0.021772
Temperature,17.7751,Gray Snapper (Sub-adult),0.041863
Temperature,17.7751,Gag Grouper (Sub-adult),0.008622
Temperature,17.7751,Red Drum (Recruit),0.020382
Temperature,17.7751,Red Drum (Sub-adult),0.199398
Temperature,18.541,Sheepshead (Adult),0.197134
Temperature,18.541,Sheepshead (Recruit),0.017036
Temperature,18.541,Blue Crab (Recruit),0.263778
Temperature,18.541,Common Snook (Adult),0.318584
Temperature,18.541,Common Snook (Sub-adult),0.006454
Temperature,18.541,Spotted Seatrout (Adult),0.089235
Temperature,18.541,Spotted Seatrout (Recruit),0.225257
Temperature,18.541,Gray Snapper (Recruit),0.02237
Temperature,18.541,Gray Snapper (Sub-adult),0.042834
Temperature,18.541,Gag Grouper (Sub-adult),0.008985
Temperature,18.541,Red Drum (Recruit),0.020457
Temperature,18.541,Red Drum (Sub-adult),0.198958
Temperature,19.3069,Sheepshead (Adult),0.193228
Temperature,19.3069,Sheepshead (Recruit),0.017202
Temperature,19.3069,Blue Crab (Recruit),0.26021
Temperature,19.3069,Common Snook (Adult),0.324516
Temperature,19.3069,Common Snook (Sub-adult),0.006531
Temperature,19.3069,Spotted Seatrout (Adult),0.086512
Temperature,19.3069,Spotted Seatrout (Recruit),0.227867
Temperature,19.3069,Gray Snapper (Recruit),0.022976
Temperature,19.3069,Gray Snapper (Sub-adult),0.043814
Temperature,19.3069,Gag Grouper (Sub-adult),0.009345
Temperature,19.3069,Red Drum (Recruit),0.020598
Temperature,19.3069,Red Drum (Sub-adult),0.19825
Temperature,20.0728,Sheepshead (Adult),0.189471
Temperature,20.0728,Sheepshead (Recruit),0.017331
Temperature,20.0728,Blue Crab (Recruit),0.256746
Temperature,20.0728,Common Snook (Adult),0.330202
Temperature,20.0728,Common Snook (Sub-adult),0.006609
Temperature,20.0728,Spotted Seatrout (Adult),0.083889
Temperature,20.0728,Spotted Seatrout (Recruit),0.230304
Temperature,20.0728,Gray Snapper (Recruit),0.023578
Temperature,20.0728,Gray Snapper (Sub-adult),0.044741
Temperature,20.0728,Gag Grouper (Sub-adult),0.009705
Temperature,20.0728,Red Drum (Recruit),0.020747
Temperature,20.0728,Red Drum (Sub-adult),0.19723
Temperature,20.8387,Sheepshead (Adult),0.185966
Temperature,20.8387,Sheepshead (Recruit),0.017409
Temperature,20.8387,Blue Crab (Recruit),0.253431
Temperature,20.8387,Common Snook (Adult),0.335653
Temperature,20.8387,Common Snook (Sub-adult),0.006663
Temperature,20.8387,Spotted Seatrout (Adult),0.081349
Temperature,20.8387,Spotted Seatrout (Recruit),0.232698
Temperature,20.8387,Gray Snapper (Recruit),0.024179
Temperature,20.8387,Gray Snapper (Sub-adult),0.045605
Temperature,20.8387,Gag Grouper (Sub-adult),0.010055
Temperature,20.8387,Red Drum (Recruit),0.020876
Temperature,20.8387,Red Drum (Sub-adult),0.195994
Temperature,21.6046,Sheepshead (Adult),0.182699
Temperature,21.6046,Sheepshead (Recruit),0.017434
Temperature,21.6046,Blue Crab (Recruit),0.250304
Temperature,21.6046,Common Snook (Adult),0.340929
Temperature,21.6046,Common Snook (Sub-adult),0.006731
Temperature,21.6046,Spotted Seatrout (Adult),0.078929
Temperature,21.6046,Spotted Seatrout (Recruit),0.23515
Temperature,21.6046,Gray Snapper (Recruit),0.024783
Temperature,21.6046,Gray Snapper (Sub-adult),0.046451
Temperature,21.6046,Gag Grouper (Sub-adult),0.01041
Temperature,21.6046,Red Drum (Recruit),0.021007
Temperature,21.6046,Red Drum (Sub-adult),0.194577
Temperature,22.3705,Sheepshead (Adult),0.179689
Temperature,22.3705,Sheepshead (Recruit),0.017421
Temperature,22.3705,Blue Crab (Recruit),0.247398
Temperature,22.3705,Common Snook (Adult),0.345886
Temperature,22.3705,Common Snook (Sub-adult),0.0068
Temperature,22.3705,Spotted Seatrout (Adult),0.076675
Temperature,22.3705,Spotted Seatrout (Recruit),0.237706
Temperature,22.3705,Gray Snapper (Recruit),0.025378
Temperature,22.3705,Gray Snapper (Sub-adult),0.047286
Temperature,22.3705,Gag Grouper (Sub-adult),0.010762
Temperature,22.3705,Red Drum (Recruit),0.021137
Temperature,22.3705,Red Drum (Sub-adult),0.192947
Temperature,23.1364,Sheepshead (Adult),0.176867
Temperature,23.1364,Sheepshead (Recruit),0.017355
Temperature,23.1364,Blue Crab (Recruit),0.244575
Temperature,23.1364,Common Snook (Adult),0.350544
Temperature,23.1364,Common Snook (Sub-adult),0.006856
Temperature,23.1364,Spotted Seatrout (Adult),0.074478
Temperature,23.1364,Spotted Seatrout (Recruit),0.24034
Temperature,23.1364,Gray Snapper (Recruit),0.025976
Temperature,23.1364,Gray Snapper (Sub-adult),0.048084
Temperature,23.1364,Gag Grouper (Sub-adult),0.011115
Temperature,23.1364,Red Drum (Recruit),0.021223
Temperature,23.1364,Red Drum (Sub-adult),0.191062
Temperature,23.9023,Sheepshead (Adult),0.174332
Temperature,23.9023,Sheepshead (Recruit),0.017261
Temperature,23.9023,Blue Crab (Recruit),0.241943
Temperature,23.9023,Common Snook (Adult),0.355072
Temperature,23.9023,Common Snook (Sub-adult),0.006927
Temperature,23.9023,Spotted Seatrout (Adult),0.072437
Temperature,23.9023,Spotted Seatrout (Recruit),0.243026
Temperature,23.9023,Gray Snapper (Recruit),0.02656
Temperature,23.9023,Gray Snapper (Sub-adult),0.048913
Temperature,23.9023,Gag Grouper (Sub-adult),0.011488
Temperature,23.9023,Red Drum (Recruit),0.021289
Temperature,23.9023,Red Drum (Sub-adult),0.189102
Temperature,24.6682,Sheepshead (Adult),0.172
Temperature,24.6682,Sheepshead (Recruit),0.017145
Temperature,24.6682,Blue Crab (Recruit),0.239435
Temperature,24.6682,Common Snook (Adult),0.35934
Temperature,24.6682,Common Snook (Sub-adult),0.006996
Temperature,24.6682,Spotted Seatrout (Adult),0.070499
Temperature,24.6682,Spotted Seatrout (Recruit),0.24576
Temperature,24.6682,Gray Snapper (Recruit),0.02712
Temperature,24.6682,Gray Snapper (Sub-adult),0.049766
