species,baseline_MSE_count,baseline_RMSE_count
Sheepshead (Adult),0.07319757342338562,0.2705505006895859
Sheepshead (Recruit),0.007049458101391792,0.08396105109746896
Blue Crab (Recruit),0.2269102931022644,0.47635101878999314
Common Snook (Adult),0.2717706859111786,0.5213163012137435
Common Snook (Sub-adult),0.0013286912580952048,0.036451217511836345
Spotted Seatrout (Adult),0.023219034075737,0.15237793172154884
Spotted Seatrout (Recruit),0.0774720162153244,0.2783379532426801
Gray Snapper (Recruit),0.006949750240892172,0.08336516203362272
Gray Snapper (Sub-adult),0.01608850248157978,0.1268404607433282
Gag Grouper (Sub-adult),0.0021055128891021013,0.04588586807615283
Red Drum (Recruit),0.00435271393507719,0.06597510087205014
Red Drum (Sub-adult),0.09525953978300095,0.3086414421023219
