common,bycatch,env,habitat_open,habitat_structured,na_indicators,nonprey_community,prey_community,restoration,shoreline,water_effort
Blue Crab (Recruit),0.004594649208916558,0.018833629621399773,0.008649855189853246,0.0071798006693522135,-0.0005280103948381212,0.009004650513331096,0.04569348096847534,0.003002976708941989,0.016912385490205555,0.006699101461304559
Common Snook (Adult),0.0026022952463891774,0.0072572244538201235,0.00024558752775192264,0.0038060857190026173,-0.0016990703013208175,0.05935366070932812,0.0326809941066636,0.003769602874914805,0.011499420139524673,0.0212073329422209
Common Snook (Sub-adult),4.408000968396664e-05,0.00010204772827112013,9.851690847426653e-05,-2.518798379848401e-05,1.0907678450975154e-05,0.00043039963218486976,0.0005328353804846604,-3.621381862709919e-05,0.00020593680544859832,4.209847086005738e-06
Gag Grouper (Sub-adult),5.745957476190395e-05,-5.7858059234503235e-05,6.20854177719189e-05,-3.2053310941490864e-05,-1.2414321665548615e-05,0.00020618550996813508,-0.00010988254539875521,-8.493383777224355e-06,3.735288951752914e-05,-6.24833938976129e-05
Gray Snapper (Recruit),9.270468726754188e-05,0.00011422031869490941,0.00018027619355254706,0.00015242347079846594,0.00029685331715477843,0.0008248838337345256,0.0030403277733259734,0.00018403006510602104,0.00021709002968337799,4.305843677785661e-05
Gray Snapper (Sub-adult),-0.0008939961592356364,3.8976636197831844e-05,0.0009018094589312871,0.000504451845255163,0.0006256623814503352,0.014558779779407715,0.0063457082129187055,-1.4892427457703437e-05,0.0012213338580396441,0.0023888837132189007
Red Drum (Recruit),0.0001042708651059204,0.0016093054475883643,0.003131942461348242,0.000718464402274953,-0.00041148575643698386,0.003500606812950638,0.030292327143251897,-0.0007272749207913877,0.0025178811098966335,-0.0008794245931009452
Red Drum (Sub-adult),0.00016206469800737172,0.0012319943971104094,0.0012720061673058404,0.0004496598409281837,0.00013097996513048807,0.008466831925842497,0.002305205249124103,0.00021288899911774527,0.0005013594196902381,0.0033062571452723614
Sheepshead (Adult),0.0007082139452298482,0.0012478250596258376,0.0005258040295706855,-6.357762548658579e-05,0.0003856774833467272,0.017834567195839354,0.004695673286914825,7.01912575297885e-05,0.0008995215098063151,0.0034221943881776597
Sheepshead (Recruit),4.2514875531196594e-05,4.182129891382324e-05,-3.0089687142107152e-06,4.270213863088025e-05,6.10608762751023e-05,0.0005812557310693794,0.001110818475070927,1.849518674943182e-05,0.0002735970386614402,-2.3041644857989402e-06
Spotted Seatrout (Adult),-7.877503004339005e-05,0.00108899287879467,0.00021030354417032665,0.000166346857117282,-0.00012181477828158273,0.004605544213619497,0.00032469114909569423,9.365373601516088e-05,4.5768192244900594e-05,0.0011157772400312955
Spotted Seatrout (Recruit),-0.00038943986097971596,0.0017394999663035075,0.002098058826393551,0.0013943268193138969,0.000896903375784556,0.011401500304539998,0.028507474230395423,-2.01271639929877e-05,0.0014794117874569364,0.0007956539591153463
