common,bycatch,env,habitat_open,habitat_structured,na_indicators,nonprey_community,prey_community,restoration,shoreline,water_effort
Blue Crab (Recruit),0.06188538526720231,0.1217605497541581,0.08474137898073163,0.07491915803615048,0.01923544318600744,0.08373469852022335,0.20122873889858045,0.04854738912818461,0.11932909075712686,0.07530439643595202
Common Snook (Adult),0.046100394173727764,0.07480116050794074,0.033076283663631266,0.059746739581662905,0.01923500428805067,0.22395184532896933,0.15699380732633822,0.051805697774661645,0.0928075537423671,0.12849871550026667
Common Snook (Sub-adult),0.005750270348661709,0.008569169825812722,0.007942062803073451,0.0036489832162278795,0.004497141166457218,0.017520798020305487,0.02060506294398511,0.0044204727905153675,0.011200449965960741,0.003985444027837396
Gag Grouper (Sub-adult),0.006628484126559415,0.0030229994548071986,0.007834339029788865,0.002112863857014341,0.004594056118424328,0.0145712475524494,0.006329113061466994,0.002683603813295662,0.007038502340763623,0.003268418260184861
Gray Snapper (Recruit),0.009305333399846783,0.012736202809018052,0.0116737409094431,0.012918315505340559,0.013872857026323192,0.024545205924205508,0.04336665405026952,0.012453172465001406,0.014346859614247136,0.009519629224605685
Gray Snapper (Sub-adult),0.01166446902945443,0.02195766139836784,0.02878508666815388,0.02151939762604473,0.02422480986220196,0.10560499805189968,0.06639601411967874,0.021737723681160934,0.029140550933411405,0.039732563288281876
Red Drum (Recruit),0.013056140691090219,0.03562431145489415,0.03999863430266285,0.022294157455977664,0.014245120602795964,0.050503600771257616,0.1406354776731456,0.011575663750123264,0.03602009372977772,0.012160677146293713
Red Drum (Sub-adult),0.010210059899844698,0.029673786888043962,0.0313340097362043,0.01750751505595699,0.013626717555839067,0.08898515255038927,0.04405574888222239,0.011511821421459404,0.020116800432401872,0.05436594564387623
Sheepshead (Adult),0.026415323805714836,0.029763432837343527,0.025942174878367138,0.014819935871293774,0.017844322090755774,0.1267986722871083,0.06628482387243836,0.020637591933278302,0.029707678837252637,0.0536114169644237
Sheepshead (Recruit),0.005002316012050467,0.00827585652279505,0.005709036961231035,0.0065890809082180144,0.007225271449110013,0.019226787882974314,0.028478053196082882,0.004313946150591429,0.014237735164654196,0.0032076555985709235
Spotted Seatrout (Adult),0.007695494058390377,0.024198966424897817,0.011176316952930983,0.010304024271125319,0.008144412181900675,0.062116331988894276,0.017868594637289695,0.01080828154619936,0.012152481082252828,0.02877509425708102
Spotted Seatrout (Recruit),0.008055605062753006,0.036749195174976455,0.03949847430175482,0.031961492626173565,0.02471110759382735,0.10212091489193784,0.16672540983905623,0.014161667045851367,0.030361863205921113,0.02229776496390851
