common,bycatch,env,habitat_open,habitat_structured,na_indicators,nonprey_community,prey_community,restoration,shoreline,water_effort
Blue Crab (Recruit),0.020532479576949536,0.07496388256051587,0.03580486632910426,0.029420783276065263,-0.0013186068138014752,0.04132963106311178,0.19738318323976867,0.012921385865189062,0.0673236741478626,0.027415417741867548
Common Snook (Adult),0.007013821004186425,0.019461767674142375,0.0007894657342584428,0.009060146729816261,-0.006013664350240035,0.1773121175208172,0.08849823804806597,0.008997658923972075,0.030726924774656997,0.05943845631431218
Common Snook (Sub-adult),0.005697741213468277,0.0011194377798735445,0.0031476990975783446,-8.756444288820035e-05,-0.001178281317461063,0.04060284796100924,0.02435461706949093,-0.005529056560903844,0.011421859061416165,-0.0024217890628826827
Gag Grouper (Sub-adult),0.022611000183720673,-0.032751155313205195,0.045047896578166526,-0.00944367028221185,0.00924792127642346,0.15813990232329028,-0.019859208118807703,-0.000519850977493313,0.03278483183069591,-0.026528478806716774
Gray Snapper (Recruit),0.007651020317548115,0.021520615269368062,-0.01081330671962822,-0.015170964925794164,0.01151584146418091,0.028420038506743756,0.17578313017730876,0.0035016927564412085,0.006543097216485536,0.009476493953673183
Gray Snapper (Sub-adult),0.0023542452456547487,0.0027939247651721354,0.01872244874878441,0.0047791724608316965,0.010147159231458196,0.22473235845995362,0.08226610971412925,0.0071676017093543765,0.01807458903683243,0.03076790922652114
Red Drum (Recruit),-0.0062420116526742805,0.015437068311520837,0.017252108459525087,0.00834173545469229,0.0017912106658107693,0.02859532299252234,0.18929748343281316,-0.0017933681673508127,0.0036154218485306227,0.0066863361144316995
Red Drum (Sub-adult),0.0016025127401434343,0.019022004931884377,0.017208939762568085,0.0075430107199435424,0.0032638301605972756,0.13404197608617807,0.034382639762489814,0.0018619666281356952,0.008477977665953504,0.04955718957993573
Sheepshead (Adult),0.005585335129414958,0.010683333047384967,0.005197357743221939,-0.0012599460122141492,0.0029473826389736944,0.16728019157512541,0.042029529559336115,0.0016970058718013862,0.009710960448960597,0.033841581177265996
Sheepshead (Recruit),0.005093888212160127,0.008429186974533,0.0013110708487284932,0.006857490301892853,0.009046626245705285,0.098612904554968,0.22639438223484745,-0.0030003523009119602,0.046112669767124796,0.00046786088726812617
Spotted Seatrout (Adult),-0.004339866796268074,0.03502504920760668,0.005582008161119348,0.004470589908028419,-0.0036251818122158153,0.18006684396993097,0.007377022908878773,-0.0007435013754613136,0.004525887419497202,0.039043105759774877
Spotted Seatrout (Recruit),-0.005004172696348147,0.01813444378079065,0.02172348823745466,0.01623606218972342,0.009858064473682319,0.12647357592640784,0.30929105688992997,-0.001030494605158685,0.013834152222136192,0.009732254772953615
