species,common,n,prevalence,pearson_r,r2,rmse
Lutjanus griseus_SA,Gray Snapper (SA),106608,0.4391602881584872,0.7929110852135738,0.6146341792058352,0.26721510471544246
Cynoscion nebulosus_R,Seatrout (R),106608,0.6043824103256791,0.788119244764803,0.6150814416315373,0.31942641401886623
Callinectes sapidus_R,Blue Crab (R),106608,0.7335190604832658,0.7731624584295359,0.5939923929534301,0.4992931055154098
Archosargus probatocephalus_A,Sheepshead (A),106608,0.6512738256040822,0.7680812021031853,0.5839525882832673,0.33184098309301724
Centropomus undecimalis_A,Snook (A),106608,0.599936214918205,0.7650619940465336,0.580647434011202,0.5793517631173627
Mycteroperca microlepis_SA,Gag Grouper (SA),106608,0.3269923457901846,0.7572787941038157,0.5298043243291284,0.05306834642434118
Lutjanus griseus_R,Gray Snapper (R),106608,0.37037558156986344,0.7500793001163361,0.5496442426633781,0.12504681634111997
Sciaenops ocellatus_R,Red Drum (R),106608,0.355020261143629,0.7493896714239701,0.5606327446948315,0.3370978793280118
Sciaenops ocellatus_SA,Red Drum (SA),106608,0.6826316974335884,0.7401976714699005,0.5440925818521787,0.25376749710905466
Archosargus probatocephalus_R,Sheepshead (R),106608,0.332667342038121,0.7311731384606756,0.5222255889341841,0.07452312972984705
Centropomus undecimalis_SA,Snook (SA),106608,0.3253508179498724,0.7070483622698501,0.49974928518024786,0.11789572472808628
Cynoscion nebulosus_A,Seatrout (A),106608,0.522427960378208,0.7020101288661362,0.47144248461771043,0.16805611809394208
